"Notes"	"Year"	"YearCode"	"State"	"StateCode"	"Births"	"TotalPopulation"	"BirthRate"
	"2004"	"2004"	"Texas"	"48"	381293	22394023	17.03
	"2004"	"2004"	"Utah"	"49"	50670	2401580	21.10
	"2004"	"2004"	"Vermont"	"50"	6599	619920	10.64
	"2004"	"2004"	"Virginia"	"51"	103933	7475575	13.90
	"2004"	"2004"	"Washington"	"53"	81747	6178645	13.23
	"2004"	"2004"	"West Virginia"	"54"	20880	1816438	11.50
	"2004"	"2004"	"Wisconsin"	"55"	70146	5514026	12.72
	"2004"	"2004"	"Wyoming"	"56"	6807	509106	13.37
	"2005"	"2005"	"Alabama"	"01"	60453	4569805	13.23
	"2005"	"2005"	"Alaska"	"02"	10459	666946	15.68
	"2005"	"2005"	"Arizona"	"04"	96199	5839077	16.48
	"2005"	"2005"	"Arkansas"	"05"	39208	2781097	14.10
	"2005"	"2005"	"California"	"06"	548882	35827943	15.32
	"2005"	"2005"	"Colorado"	"08"	68944	4631888	14.88
	"2005"	"2005"	"Connecticut"	"09"	41718	3506956	11.90
	"2005"	"2005"	"Delaware"	"10"	11643	845150	13.78
	"2005"	"2005"	"District of Columbia"	"11"	7971	567136	14.05
	"2005"	"2005"	"Florida"	"12"	226240	17842038	12.68
	"2005"	"2005"	"Georgia"	"13"	142200	8925922	15.93
	"2005"	"2005"	"Hawaii"	"15"	17924	1292729	13.87
	"2005"	"2005"	"Idaho"	"16"	23062	1428241	16.15
	"2005"	"2005"	"Illinois"	"17"	179020	12609903	14.20
	"2005"	"2005"	"Indiana"	"18"	87193	6278616	13.89
	"2005"	"2005"	"Iowa"	"19"	39311	2964454	13.26
	"2005"	"2005"	"Kansas"	"20"	39888	2745299	14.53
	"2005"	"2005"	"Kentucky"	"21"	56444	4182742	13.49
	"2005"	"2005"	"Louisiana"	"22"	60937	4576628	13.31
	"2005"	"2005"	"Maine"	"23"	14112	1318787	10.70
	"2005"	"2005"	"Maryland"	"24"	74980	5592379	13.41
	"2005"	"2005"	"Massachusetts"	"25"	76865	6403290	12.00
	"2005"	"2005"	"Michigan"	"26"	127706	10051137	12.71
	"2005"	"2005"	"Minnesota"	"27"	70919	5119598	13.85
	"2005"	"2005"	"Mississippi"	"28"	42395	2905943	14.59
	"2005"	"2005"	"Missouri"	"29"	78618	5790300	13.58
	"2005"	"2005"	"Montana"	"30"	11583	940102	12.32
	"2005"	"2005"	"Nebraska"	"31"	26145	1761497	14.84
	"2005"	"2005"	"Nevada"	"32"	37268	2432143	15.32
	"2005"	"2005"	"New Hampshire"	"33"	14420	1298492	11.11
	"2005"	"2005"	"New Jersey"	"34"	113776	8651974	13.15
	"2005"	"2005"	"New Mexico"	"35"	28835	1932274	14.92
	"2005"	"2005"	"New York"	"36"	246351	19132610	12.88
	"2005"	"2005"	"North Carolina"	"37"	123096	8705407	14.14
	"2005"	"2005"	"North Dakota"	"38"	8390	646089	12.99
