Country Name,Country Code,Series Name,Series Code,1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Cabo Verde,CPV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1300,1340,1370,1310,1270,1480,1850,2110,2250,2780,3280,3480,3410,3540,3470,3530,3440,3280
Cambodia,KHM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,290,290,300,310,320,350,400,460,520,590,670,690,750,810,880,960,1020,1070
Cameroon,CMR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,630,630,600,580,570,660,800,900,960,990,1090,1160,1170,1210,1230,1290,1350,1320
Canada,CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20760,21300,22610,22980,23490,25360,29370,34120,37780,41420,44810,43110,44370,47060,50900,52620,51750,47250
Cayman Islands,CYM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,270,270,250,250,250,260,300,340,350,380,420,450,470,480,490,310,320,330
Chad,TCD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,220,200,180,190,190,210,340,470,530,630,700,830,910,890,960,980,980,880
Channel Islands,CHI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,42430,41270,40370,42780,49540,55320,59810,65430,..,..,..,..,..,..,..,..
Chile,CHL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5350,5000,5020,4850,4630,4650,5310,6340,7360,8740,10140,10030,10800,12350,14360,15270,14980,14100
China,CHN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,800,860,940,1010,1110,1280,1510,1760,2060,2510,3100,3690,4340,5060,5940,6800,7520,7900
Colombia,COL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2510,2280,2320,2300,2330,2340,2580,2920,3430,4070,4660,5090,5540,6180,7140,7760,7970,7140
Comoros,COM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,420,410,420,400,390,450,540,620,650,670,720,770,780,790,800,820,820,780
"Congo, Dem. Rep.",COD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,120,100,130,140,190,160,190,200,220,250,270,290,300,310,350,370,400,410
"Congo, Rep.",COG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,580,490,570,640,680,710,790,980,1230,1410,1870,1980,2230,2230,2510,2620,2720,2540
Costa Rica,CRI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3360,3140,3580,3690,3780,4040,4390,4650,5060,5690,6410,6530,7230,8060,9220,9800,10110,10400
Cote d'Ivoire,CIV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,750,730,640,590,570,620,780,940,950,980,1090,1180,1210,1150,1260,1360,1450,1420
Croatia,HRV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,5440,5110,5290,5190,5470,6490,8270,9870,10990,12350,13970,13810,13750,14050,13460,13470,13160,12760
Cuba,CUB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2240,2400,2620,2760,2820,3100,3490,3960,4520,4980,5430,5490,5570,5880,6230,6600,..,..
Curacao,CUW,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,15800,14780,14860,14690,14980,17130,20920,24450,26290,29030,32090,32560,31330,31500,28920,27010,26500,25810
Czech Republic,CZE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,6060,6070,6320,6320,6620,8060,10210,12380,13920,15740,18300,18650,19210,19420,19350,19270,18790,18150
Denmark,DNK,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,33580,33130,32660,31440,30870,34850,42770,49610,53540,55740,60390,60090,61220,61990,61650,63200,63640,60270
Djibouti,DJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,720,740,760,780,800,890,980,1030,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,3360,3340,3600,4150,4360,4810,5080,5140,5480,5760,6340,6510,6700,6870,6660,6810,7010,6800
Dominican Republic,DOM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2380,2470,2630,2650,2810,2590,2480,2910,3470,4270,4620,4850,5290,5420,5660,5850,6110,6240
Ecuador,ECU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2170,1790,1540,1550,1740,2130,2560,2900,3120,3330,3880,4090,4410,4900,5410,5830,6150,6030
"Egypt, Arab Rep.",EGY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1210,1320,1420,1450,1360,1290,1230,1240,1330,1550,1860,2140,2390,2590,2850,3040,3210,3340
